mode,model,display,factor_model,alpha_ann,alpha_daily,alpha_t,alpha_p,r2,r2_adj,nobs,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM,t_MOM,p_MOM,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA
return,gemini-2.5-flash,Gemini 2.5 Flash,FF3,0.5784580653954294,0.0018129448237497196,2.094426109677571,0.03622203891004103,0.5644534968185302,0.5610419054097981,387,1.4496973684062677,8.739545927497078,2.3404922246051457e-18,-0.16726375587351405,-1.24631788784293,0.21264771330785726,-0.5811014256933626,-3.949274321897849,7.838847629156578e-05,,,,,,,,,
return,gemini-2.5-flash,Gemini 2.5 Flash,Carhart4,0.535552841648838,0.0017033954565482316,1.9677006225608527,0.04910249416523666,0.5733077742410595,0.5688397928194999,387,1.4245510331425244,10.163650704620991,2.8808304492351113e-24,-0.06617580567311536,-0.433557189225634,0.664610028414562,-0.5078840393760556,-3.4022392364676057,0.0006683610296658323,0.2776889426591423,1.9983283968995538,0.045681068811917636,,,,,,
return,gemini-2.5-flash,Gemini 2.5 Flash,FF5,0.5092198372279015,0.0016346395421597073,1.90820850176804,0.05636427323022538,0.5763279336100213,0.5707679327387618,387,1.3750225962601839,8.613592234176823,7.080621263978706e-18,-0.34124826149443604,-2.225032848509573,0.026079033062256222,-0.43609969515091107,-2.7936425683955193,0.005211804968048359,,,,-0.570177233319511,-2.897907156553244,0.0037566177815829206,0.0356364681598462,0.17346705621064143,0.8622843206343155
return,gemini-2.5-flash,Gemini 2.5 Flash,FF6,0.4927707311255356,0.0015910816683911168,1.8536026986897456,0.06379602123307397,0.5813989037616849,0.5747894127684483,387,1.3636848315213563,9.828143595140547,8.517431842484237e-23,-0.2294917932290319,-1.312478983189809,0.18935857272294276,-0.4090329314813469,-2.596005172726726,0.009431464535795957,0.2273141840195272,1.5071709024230708,0.13176685657522202,-0.4655452092005922,-2.4539964654641295,0.014127837009384402,0.1376508075348745,0.6282084093672554,0.5298674221264565
return,gemini-2.5-pro,Gemini 2.5 Pro,CAPM,0.3120494358682693,0.0010783205318381564,1.1186048163211577,0.26330876784322577,0.5637888379459326,0.5626558219405974,387,1.77664425241067,19.55427511900662,3.793585107455492e-85,,,,,,,,,,,,,,,
return,gemini-2.5-pro,Gemini 2.5 Pro,FF3,0.38457887697688276,0.0012920881285472183,1.432014007734293,0.1521398124999883,0.5977310371588349,0.5945801053350138,387,1.6316552064393717,18.280408341700753,1.1853530464260372e-74,-0.05352776899543028,-0.4161260374727121,0.6773177779896722,-0.6616609684359862,-5.122653189366735,3.0126615963424073e-07,,,,,,,,,
return,gemini-2.5-pro,Gemini 2.5 Pro,Carhart4,0.355444410863085,0.00120759116704229,1.3313861460458873,0.18306198556416609,0.6020949820862077,0.597928437396011,387,1.6122594857971448,21.404672448760657,1.2086712593055762e-101,0.024442783047960923,0.17675447131747568,0.8597012524909968,-0.6051873727302924,-4.391830218395486,1.1240045901749796e-05,0.2141853713776599,1.8530956605061923,0.06386864871551089,,,,,,
return,gemini-2.5-pro,Gemini 2.5 Pro,FF5,0.3040685602318294,0.001054083087981597,1.2052905358719446,0.2280911618904321,0.6216907497894415,0.6167260614664682,387,1.5099466728880375,17.46259539948078,2.7609142927691967e-68,-0.32076597472648855,-2.2387600469001314,0.025171533160778938,-0.45796491080022633,-3.2448767092517112,0.001175014854357032,,,,-0.8548382113439494,-4.7043080595574684,2.547283805273649e-06,0.2909784912261934,1.4980812044486156,0.13411215377380967
return,gemini-2.5-pro,Gemini 2.5 Pro,FF6,0.2946866865306974,0.0010254012575227074,1.1640919795207307,0.24438673862816784,0.6235122747939726,0.6175677317644037,387,1.502481022756627,19.810416428045187,2.420737589773262e-87,-0.24717698155094267,-1.5801201668596536,0.11407934972334785,-0.4401420866015099,-3.0696822943400766,0.002142865877571019,0.14968101798628683,1.1545332971718507,0.24828159556311258,-0.7859404962645418,-4.236307579290547,2.272254680018806e-05,0.3581525227663518,1.7240028251558663,0.08470733314946108
return,gemini-3-flash-preview,Gemini 3 Flash,CAPM,1.6939641268459802,0.003940337088842078,4.757354834078376,1.961462137490125e-06,0.45356706279492287,0.4521477564645201,387,1.3681615401140172,10.67857118359022,1.2823004753457943e-26,,,,,,,,,,,,,,,
return,gemini-3-flash-preview,Gemini 3 Flash,FF3,1.8214417134292784,0.004124546116562817,5.7141682430916045,1.1024189031874243e-08,0.4900834078031746,0.48608928306011856,387,1.2473367154167898,9.196641038579685,3.693137157267745e-20,-0.08139594108650998,-0.6550238053596947,0.5124524273178717,-0.5723297467129043,-3.6834809315488792,0.00023007050180656128,,,,,,,,,
return,gemini-3-flash-preview,Gemini 3 Flash,Carhart4,1.7271159505028835,0.003989064676704826,5.624336491882551,1.8622234360139842e-08,0.5053031716801916,0.5001231001794606,387,1.2162378437782602,11.562801421174772,6.359949517028936e-31,0.043621130169074845,0.2959054287858762,0.7673023050626033,-0.4817806438353347,-3.239292518671748,0.001198266117436412,0.3434223194998468,2.409488058920633,0.01597491882218463,,,,,,
return,gemini-3-flash-preview,Gemini 3 Flash,FF5,1.639195104492496,0.003858512210894055,5.299447419690618,1.1615367953755486e-07,0.5161057511888373,0.509755432962969,387,1.1574199952179165,8.837093367697927,9.824103535045751e-19,-0.306828184805282,-2.0849175082712605,0.037076789120741555,-0.36588527207312327,-2.1311457600396486,0.03307713584667389,,,,-0.7592217390525825,-3.414390250171303,0.00063924941738815,-0.1843594640549217,-0.9947017678343208,0.3198813344068099
return,gemini-3-flash-preview,Gemini 3 Flash,FF6,1.6104610610623213,0.003814904554282793,5.2888020890381995,1.2312001775291445e-07,0.521817881909561,0.514267637939712,387,1.1460692724049484,10.221615087331784,1.586747906333426e-24,-0.1949439886645092,-1.0668286347285034,0.2860492255823832,-0.3387875734584034,-2.077600595862934,0.03774616126451684,0.2275739842639042,1.3948383476132404,0.16306459209647006,-0.6544701296752563,-2.796876068144975,0.005159932164789655,-0.08222853120635396,-0.44791697068389663,0.6542131201217314
return,gemini-3-pro-preview,Gemini 3 Pro,CAPM,0.8333263574146899,0.0024081807287200945,2.416887327645036,0.015653861820578898,0.5176547336125374,0.5164018887647779,387,1.5781458739540781,12.15976073165333,5.090757441230856e-34,,,,,,,,,,,,,,,
return,gemini-3-pro-preview,Gemini 3 Pro,FF3,0.923021376641324,0.0025982011674559615,2.7922760384514955,0.005233868547473296,0.5509262988040935,0.5474087502307574,387,1.4533968734270555,10.59287979683575,3.215446475382363e-26,-0.08300061968661075,-0.6086006174187709,0.5427891951351499,-0.5903265831496032,-4.285136550943356,1.8262698159577116e-05,,,,,,,,,
return,gemini-3-pro-preview,Gemini 3 Pro,Carhart4,0.8697670288681654,0.0024864744152207794,2.6960328813170773,0.007017073956591925,0.5598048438927913,0.5551954705304122,387,1.4277507337787323,12.700231165297888,5.895530714511132e-37,0.020096537828032435,0.12963724485461597,0.8968534347456127,-0.5156539402183571,-3.6961365528359647,0.00021890526249945604,0.2832082419778983,2.162653959427677,0.03056780471737922,,,,,,
return,gemini-3-pro-preview,Gemini 3 Pro,FF5,0.8361079125220112,0.002414211377032652,2.6379488555108592,0.008340916043493568,0.5676770141671119,0.562003484169305,387,1.3590565044309544,10.18799312722918,2.2434758496857638e-24,-0.28999198016667194,-1.9391060533401576,0.052488425766778764,-0.43274257553195705,-2.9345962031809507,0.0033398200326086548,,,,-0.6619118249391444,-3.4459109439934235,0.0005691378866715723,0.22774267495952114,1.186702362771315,0.23534504272973533
return,gemini-3-pro-preview,Gemini 3 Pro,FF6,0.8138060436693371,0.002365600867247958,2.5962231834355114,0.009425481976631405,0.5737655397937331,0.5670355220010026,387,1.346403579113696,12.072359394654391,1.4783402405336298e-33,-0.16527196001665848,-0.9758841176405659,0.3291218935248047,-0.40253611533632205,-2.747943078876587,0.005997041928972967,0.2536822257479631,1.7533667164772613,0.07953908030760484,-0.545142671806484,-2.8311111930890145,0.004638659196061969,0.3415904965659481,1.7126284572972121,0.08678091451812285
return,claude-haiku-4-5-20251001,Claude Haiku 4.5,CAPM,1.089336497385235,0.0029282732876487463,3.540069879783057,0.0004000210979761932,0.6923158157809893,0.6911186010564018,259,1.6611990837404342,18.24753746538785,2.16448528123449e-74,,,,,,,,,,,,,,,
return,claude-haiku-4-5-20251001,Claude Haiku 4.5,FF3,1.1932360792478978,0.003121441405185267,4.16241604913497,3.148979288720982e-05,0.7155116412161506,0.7121647193481053,259,1.571965605140456,18.701487050176418,4.814320189012495e-78,-0.18162734950562887,-1.7072065799814946,0.08778366245398127,-0.46849993583480504,-2.3247179279773,0.020087048000977804,,,,,,,,,
return,claude-haiku-4-5-20251001,Claude Haiku 4.5,Carhart4,1.2005297394430068,0.0031346572474993803,4.176952807056563,2.9544029171960658e-05,0.7157029055466431,0.7112257859489524,259,1.5714474621214456,19.42155674820393,5.072865196480797e-84,-0.20035532131934758,-1.55265072296757,0.12050660072562755,-0.48350789531200694,-2.661526256717554,0.007778727376595929,-0.038369921049277375,-0.2927716482639484,0.769696700557823,,,,,,
return,claude-haiku-4-5-20251001,Claude Haiku 4.5,FF5,1.0036627715759856,0.0027616511594609136,3.705442464601908,0.00021102202937596444,0.7396996480921905,0.7345553723627871,259,1.538681527334806,14.756875235381745,2.778594485926626e-49,-0.2674379863005396,-2.3100052275432112,0.020887864712472736,-0.22923909611041343,-1.0157020149128584,0.3097713082433533,,,,-0.5120805308582592,-3.2744649025426362,0.0010586228870499352,-0.5266780288669282,-1.843001663093007,0.06532876766476148
return,claude-haiku-4-5-20251001,Claude Haiku 4.5,FF6,1.004141353708897,0.002762601495879171,3.7561090663985,0.00017257550787278637,0.7473533365303195,0.7413379397810415,259,1.5289076682752487,18.085262898534705,4.1637729266598126e-73,-0.41464636760470214,-2.9533033828549344,0.0031439281447159457,-0.2727068054911264,-1.4404647047753605,0.14973596881047851,-0.26785531296239906,-1.8087610092993378,0.07048814017537361,-0.6315307624949428,-3.546631942063289,0.0003901893007785137,-0.6804037346364458,-2.2934602489874405,0.021821521394451895
return,claude-sonnet-4-20250514,Claude Sonnet 4,CAPM,1.033672641015083,0.0028208096733368933,4.105300989748493,4.0378877840645476e-05,0.5394266304046922,0.5382303359382109,387,1.4092759721556727,19.763240864066987,6.1712366567942965e-87,,,,,,,,,,,,,,,
return,claude-sonnet-4-20250514,Claude Sonnet 4,FF3,1.092706593719042,0.002934687666753212,4.686963939046904,2.7728780192883535e-06,0.5775043657845518,0.5741950005034908,387,1.367060894197503,18.61855987545831,2.2724345154257193e-77,-0.3286301249670657,-3.321828621857428,0.0008942960378188556,-0.37085464769055415,-3.556969960432414,0.00037515703632507146,,,,,,,,,
return,claude-sonnet-4-20250514,Claude Sonnet 4,Carhart4,1.0521342119426107,0.002856772544384929,4.626628479663455,3.7166634320584705e-06,0.5831467850866879,0.5787818299567056,387,1.3491759913519557,20.29497122883563,1.424380657841797e-91,-0.2567330413870027,-2.2454053705742094,0.024742120959434115,-0.3187800281821606,-3.2039413951250806,0.0013556006748211074,0.1975015328735488,2.0143233791094617,0.04397559294351817,,,,,,
return,claude-sonnet-4-20250514,Claude Sonnet 4,FF5,0.995998102360252,0.0027464002884529447,4.533994047143779,5.787866082228938e-06,0.5940063639775746,0.5886783635048394,387,1.3232788235302435,19.18989678292872,4.4953149583576044e-82,-0.45663487969588645,-3.6035985257215843,0.0003138417027951706,-0.23388609892437934,-1.8251070903925628,0.06798487042811194,,,,-0.4528414393879258,-2.6800200959960843,0.00736177404146104,-0.3498706025196963,-2.1352419157711346,0.032741254708859774
return,claude-sonnet-4-20250514,Claude Sonnet 4,FF6,0.9881973769322356,0.0027308186866833255,4.517994115238708,6.24282188750185e-06,0.5948238312510964,0.5884263127971663,387,1.3192230577217494,20.00577396089731,4.9051318208887405e-89,-0.4166571527532334,-2.597965876420313,0.009377781267521949,-0.22420372703129574,-1.8561970047453655,0.06342548288396789,0.08131524304564948,0.6337982839893883,0.5262124732347073,-0.415412281553863,-2.127567089541628,0.03337299330614707,-0.3133778476297989,-1.7233767113565066,0.08482042356244
return,claude-opus-4-20250514,Claude Opus 4,CAPM,0.6930423845590397,0.0020915777082550265,2.495198858857286,0.012588655852182516,0.5593094784335084,0.558164827728141,387,1.5910633438134119,14.458239402944598,2.2241446081351225e-47,,,,,,,,,,,,,,,
